zinc_id,ortholog_name,gene_name,affinity,chembldocid,title,reference.pubmed_id,reference.doi,reference.chembl_id,reference.journal,reference.year
ZINC000000006507,NRAM_I34A1,NA,5,3200,,10450950,,CHEMBL1132662,Bioorg. Med. Chem. Lett.,1999
ZINC000000007642,NRAM_I34A1,NA,7.32,14980,,10395473,,CHEMBL1132253,J. Med. Chem.,1999
ZINC000001532590,NRAM_I34A1,NA,5,14980,,10395473,,CHEMBL1132253,J. Med. Chem.,1999
ZINC000001538308,NRAM_I34A1,NA,5.21,48644,,20014777,,CHEMBL1154750,J. Med. Chem.,2010
ZINC000002047890,NRAM_I34A1,NA,5.3,14980,,10395473,,CHEMBL1132253,J. Med. Chem.,1999
ZINC000003581794,NRAM_I34A1,NA,5.12,16358,,11312919,,CHEMBL1134391,J. Med. Chem.,2001
ZINC000003581797,NRAM_I34A1,NA,5.68,16358,,11312919,,CHEMBL1134391,J. Med. Chem.,2001
ZINC000003581806,NRAM_I34A1,NA,5.8,16358,,11312919,,CHEMBL1134391,J. Med. Chem.,2001
ZINC000003588277,NRAM_I34A1,NA,9,16241,,11728184,,CHEMBL1134303,J. Med. Chem.,2001
ZINC000003826222,NRAM_I34A1,NA,7.92,14832,,9526555,,CHEMBL1131488,J. Med. Chem.,1998
ZINC000003826222,NRAM_I34A1,NA,7.92,1738,,,10.1016/0960-894X(96)00318-6,CHEMBL1159157,Bioorg. Med. Chem. Lett.,1996
ZINC000003826222,NRAM_I34A1,NA,7.92,4685,,11266166,,CHEMBL1134218,Bioorg. Med. Chem. Lett.,2001
ZINC000003826222,NRAM_I34A1,NA,7.7,14832,,9526555,,CHEMBL1131488,J. Med. Chem.,1998
ZINC000003826222,NRAM_I34A1,NA,8.52,14832,,9526555,,CHEMBL1131488,J. Med. Chem.,1998
ZINC000003826222,NRAM_I34A1,NA,8.52,1920,,,10.1016/S0960-894X(96)00542-2,CHEMBL1128946,Bioorg. Med. Chem. Lett.,1996
ZINC000003826222,NRAM_I34A1,NA,7.52,14832,,9526555,,CHEMBL1131488,J. Med. Chem.,1998
ZINC000003826222,NRAM_I34A1,NA,8.1,14832,,9526555,,CHEMBL1131488,J. Med. Chem.,1998
ZINC000003831612,NRAM_I34A1,NA,9,12718,,8126701,,CHEMBL1127812,J. Med. Chem.,1994
ZINC000003833958,NRAM_I34A1,NA,5.2,14477,,9651151,,CHEMBL1131009,J. Med. Chem.,1998
ZINC000003833963,NRAM_I34A1,NA,6.28,14477,,9651151,,CHEMBL1131009,J. Med. Chem.,1998
ZINC000003833963,NRAM_I34A1,NA,6.28,2174,,,10.1016/S0960-894X(97)00333-8,CHEMBL1130481,Bioorg. Med. Chem. Lett.,1997
ZINC000003833964,NRAM_I34A1,NA,6.21,14477,,9651151,,CHEMBL1131009,J. Med. Chem.,1998
